Company,Model,Lens,NA,Zoom (x),Core_Technology,Configuration,type of interaction,Acquisition mode,STR (nm),Accuracy_micron,Vertical Resolution(nm),Sq repeatability (nm),Repatability (nm),Ra repeatability (nm),Rz repeatability (nm),Angular Coverage Perfect diffuser,Angular Coverage Mirror Like,LATA(micron),Optical Resolution(micron),Spatial_Sampling_micron,area_mm2,Line Lenght (mm),X-Y speed (mm/sec),Working disitance (mm),Z Speed Scan (micron/sec),Z stage,Z working range (mm),X/Y Stage,Weight (Kg),Max sample weight,Frequency (Khz),Max number of point per scan,Sample reflectivity (%),Measurement time (s),COST,High res color texture,Max. sample stage positioning range 
nanovea,jr25,Modular Optical pen,,,Non Contact Chromatic Confocal ,Porable,white light,Array,,0.02,,,,,,,,1.1,,1.1,625,,20,3.3,,Manual,30,,,,,,,,,,
nanovea,jr25,Modular Optical pen,,,Non Contact Chromatic Confocal ,Porable,white light,Array,,0.06,,,,,,,,1.1,,1.1,625,,20,11,,Manual,30,,,,,,,,,,
nanovea,jr25,Modular Optical pen,,,Non Contact Chromatic Confocal ,Porable,white light,Array,,0.2,,,,,,,,1.55,,1.55,625,,20,12.7,,Manual,30,,,,,,,,,,
nanovea,jr25,Modular Optical pen,,,Non Contact Chromatic Confocal ,Porable,white light,Array,,0.4,,,,,,,,2.6,,2.6,625,,20,16.4,,Manual,30,,,,,,,,,,
nanovea,jr25,Modular Optical pen,,,Non Contact Chromatic Confocal ,Porable,white light,Array,,0.9,,,,,,,,2.6,,2.6,625,,20,29,,Manual,30,,,,,,,,,,
nanovea,jr25,Modular Optical pen,,,Non Contact Chromatic Confocal ,Porable,white light,Array,,3,,,,,,,,8,,8,625,,20,19.6,,Manual,30,,,,,,,,,,
zygo,nomad,STD 1.4x,0.04,0.5,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,1.85,,7.14,11.81,12.09,,,4,35,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 1.4x,0.04,1,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,1.85,,7.14,5.86,6,,,4,35,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 1.4x,0.04,2,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,1.85,,7.14,2.96,3.02,,,4,35,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 2.75x,0.08,0.5,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,3.71,,3.56,5.91,6.05,,,4.5,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 2.75x,0.08,1,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,3.71,,3.56,2.93,3,,,4.5,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 2.75x,0.08,2,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,3.71,,3.56,1.48,1.51,,,4.5,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 5.5x,0.15,0.5,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,7.27,,1.9,2.95,3.02,,,8,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 5.5x,0.15,1,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,7.27,,1.9,1.47,1.5,,,8,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 5.5x,0.15,2,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,7.27,,1.9,0.74,0.76,,,8,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 10x,0.3,0.5,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,14.53,,0.95,1.64,1.68,,,7.4,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 10x,0.3,1,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,14.53,,0.95,0.82,0.83,,,7.4,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 10x,0.3,2,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,14.53,,0.95,0.41,0.42,,,7.4,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 20x,4.7,0.5,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,21.8,,0.71,0.82,0.84,,,4.7,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,STD 20x,4.7,1,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,21.8,,0.71,0.41,0.42,,,4.7,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
