index_f,numero_del_codice,numerazione_araba,numerazione_romana_alternativa,ulteriore_numerazione_arabaoromana,identificativo_parte,Spagnolo,titolo,materiale,datazione_i,datazione_f,lingua,fogli,altezza,ampiezza,rilegatura,tipo_rilegatura,materiale_rilegatura,palinsesto,testo_indistinto,danni_fuoco,cancro_pergamena,margini_danneggiati,danni_umidita,restaurato,anno_restauro,dorature,disegni,miniato,colori,rosso,blue,note
1,I,1,,,,49-50,Psalterium com Canticis graeco-latinum,membranaceo,4,6,greco latino,405,270,200,rilegato,legno coperto di broccato antico,,,,,,,,,,,1,,,1,,
,I,,,,appendice,50-51,Vetera paralipomena mss. codd. capit. Veron.,membranaceo,4,10,latino,17,270,190,fogli sciolti,,,,,,,,,,,,,,,,,17 Pergamene di 11 frammenti stralciate da alcuni codici
2,lI,2,,,,51-52,Libri Regum ex versione hieronymiana et itala,membranaceo,5,7,,256,282,240,rilegato,cartoncino coperto di seta e oro,,,1,,,,,,,,,,,1,,Mancano 2 carte (tra 249 e 250 e dopo 250)
3,III,3,,,,52,Ex libro I Regum,membranaceo,6,8,,9,250,163,rilegato,pergamena,,,1,,,,,,,,,,,,,
4,IV,4,,,f1,52,Ex libr. Levitici Deuteron. Sapientis et Danielis: Levitici Deuteronomii,membranaceo,5,6,,2,335,290,rilegato,pergamena,,,1,,,,,,,,,,,,,Sembrano legati tra loro
5,IV,4,,,f2,52,Ex libr. Levitici Deuteron. Sapientis et Danielis: Sapientiae,membranaceo,4,6,,3,285,170,rilegato,pergamena,,,,,,,,,,,,,,,,Sembrano legati tra loro
6,IV,4,,,f3,52,Ex libr. Levitici Deuteron. Sapientis et Danielis,membranaceo,6,8,,1,320,245,rilegato,pergamena,,,,,,,,,,,,,,,,Sembrano legati tra loro
,IV,4,,,f4,52,Ex libr. Levitici Deuteron. Sapientis et Danielis: Danielis,membranaceo,,,,1,,,rilegato,pergamena,,,,,,,,,,,,,,,,Sembrano legati tra loro
7,V,5,,,,53-54,"Prophetiae Isaiae, Ieremiae, Baruch, Ezech., Oseae, Amos, Ioel et aliorum accedunt Tractatus sacri varii",membranaceo,13,14,,114,200,153,rilegato,pelle,,1,,,,,,,,,,,,,,"Precedente scrittura alle cc. 85-100, 103-106, 110-112"
8,VI,6,,30,,54-55,Evangelia,membranaceo,4,6,,389,285,225,rilegato,cartoncino coperta di velluto,,,,,,1,,1,"1924, 1960",1,,,1,,,
9,VII,7,,,,56,Evangelium secund. Matthaeum,membranaceo,7,8,,25,215,145,rilegato,,,,,,,,,,,,,,,1,,
10,VIII,7,,2,,56-57,Evangelia per annum,membranaceo,7,10,,101,300,185,rilegato,pergamena,,,,1,,,,,,,,,,1,,
11,IX,7,,3,,57,Evangelia per annum,membranaceo,11,13,,136,235,140,rilegato,cartoncino,,,,1,,,,1,1957,,1,,,1,,
12,X,8,,,,58-59,SS. Patrum opuscola,membranaceo,6,8,,158,186,121,rilegato,,,,,,,,,,,,1,,,1,,
13,XI,9,,,,60,Epistolae canonicae Apocalpypsis pars et liber Proverbiorum,membranaceo,7,15.25,,227,150,120,rilegato,pergamena,,,,,,,,,,,,,,1,1,
14,XII,10,,,,61-63,Vetus et Novum testamentum cum Praefationibus Hieronymi et Rabani ac cum Dictionario alphabetico et alia pauca,membranaceo,12,14,,358,234,170,rilegato,assi coperte in pelle,,,,,,1,,,,1,,1,,1,1,
15,XIII,11,,,,63-64,Sancti Hilarii Tractatus super Psalmos,membranaceo,4,6,,566,272,182,rilegato,pergamena,,,,,,,,,,1,,,,1,,cc. VII-559
16,XIV,12,,,,64,S. Ilarii episcopi De Trinitate libri XII,membranaceo,4.75,6,,504,313,278,rilegato,pergamena,,,,,,,,,,,,,,1,,
17,XV,13,,,,64-67,Gaius et Hieronimus,membranaceo,6.5,7.5,greco,137,233,195,fogli sciolti,,,1,,,,,,,,,,,1,1,,
18,XVI,14,,,,67-70,S. Hieronimi Epistolae et alia queadam,membranaceo,8,9,,330,348,250,rilegato,pelle,,,,,,,,,,,,1,,1,,forse 4 carte aggiuntive
19,XVII,15,,,,70,D. Hieronimi Opera varia,membranaceo,5,7,greco latino,299,348,250,rilegato,assi coperte di pelle,,,,,,,,,,,,,,,,
20,XVII,16,,,,71-72,D. Hieronimi et aliorum Patrum Opuscola,membranaceo,10.75,11.25,,170,348,260,rilegato,pergamena,,,,,,,,,,,,,,1,,
21,XIX,17,,,,73,"S. Hieronimi Explanat. in prophet. minores, Ratherii Veron. Epist. duae",membranaceo,8,10,greco latino,94,253,170,rilegato,pergamena,,,,,,,,,,,,,,,,
22,XX,18,,,,73-74,S. Hieronimi Opera varia,membranaceo,9,10,,121,325,220,rilegato,pergamena,,,,,,,,,,,,,,,,
23,XXI,19,,,,74-75,Ve. Bedae et Di. Hieronimi Opera varia,membranaceo,9,9.25,,124,320,240,rilegato,pergamena,,,,,,,1,,,,1,,,,,
24,XXII,20,,,,75-76,D. Hieronimi et Gennadii De viris illustribus et alia plura,membranaceo,5.25,5.75,,175,220,195,rilegato,assi ricoperte di pelle,,,,,,,,,,,,,,,,
25,XXIII,21,,,,77,"D. Hieronimo olim attributae Questiones in libr. Regum et Paralipom., Epistola Caroli regis",membranaceo,8,10,,116,217,155,rilegato,pergamena,,,,,,,,,,,1,,,,,
26,XXIV,22,,,,77-78,S. Hieronymi Opuscola,membranaceo,14,15,,71,197,114,rilegato,,,,1,,,,,,,,,1,1,,,
27,XXV,23,,,,78,"Eusebii De morte et miraculis Hieronymi, S. Augustini Quaedam",cartaceo,14,15,,199,210,150,rilegato,assi coperte in pelle,,,,,,,,,,1,,1,1,1,,
28,XXVI,24,,,,79,Eusebii Chronicon cum Math. Palmerii Continuatione,cartaceo,14,15,,116,282,212,rilegato,mezza pelle e cartoncino,,,,,,,,,,,,1,,1,,
29,XXVII,25,,,,79-80,S. Ambrosii in Exameron et alia plura,membranaceo,9,11,,138,345,260,rilegato,assi coperte di pelle,,,,,,,,,,,1,,,1,,1 disegno c. 98v
30,XVIII,26,,,,80-81,B. Augustini De civitate Dei,membranaceo,4,7,,253,290,190,rilegato,pergamena,,1,,,,,1,,,,,,,1,,rifatta la scrittura su parecchie pagine (= palinsesto?)
31,XXIX,27,,,,81-82,S. Augustini De civitate Dei,membranaceo,8.75,9,,116,360,256,rilegato,pergamena,,,,,,,,1,1967,,,,,1,,
32,XXX,28,,,,82,S. Augustini in Psalmos,membranaceo,8,9,,95,298,210,rilegato,pergamena,,,,,,,,,,,,,,1,,
33,XXXI,29,,,,83,S. Augustini in Psalmos,membranaceo,8,9,,161,290,210,rilegato,,,,,,,,,,,,,,,,,
34,XXXII,30,,,,83-84,"S. Augustini Enchiridion, libri 2 De sermone in Monte Domini, Cassiani Li. V De spiritu Castrimargiae et Hymni duo",membranaceo,9,10,,187,300,204,rilegato,pergamena,,,,,,1,,1,1959-1960,,,,,1,,
35,XXXIII,31,,,,84,"S. Augustini De agone christiano, De fide et symbolo, Epistola ad Hieronymum",membranaceo,7,9,,70,220,164,rilegato,pergamena,,,,,,,,,,,,,,1,,
36,XXXIV,32,,,,85,S. Augustini De doctrina christiana libri IV,membranaceo,12,13,,99,250,160,rilegato,pergamena,,,,,,,,,,,,,,1,,
37,XXXV,33,,,,85,S. Augustini liber qui vocatur Quinquaginta,membranaceo,11,12,,212,240,160,rilegato,pergamena,,,,,,,,,,,,,,1,,
38,XXXVI,34,,,,86,S. Augustini Explanatio in Evangelium Iohannis,membranaceo,8.75,9,,316,386,280,rilegato,pergamena,,,,,,,,,,,1,,1,1,,al f. 6 bellissima iniziale a disegno e colori
39,XXXVII,35,,,,87,S. Clementis Recognitionum libri X interprete Rufino et alia,membranaceo,5,8,,265,323,252,rilegato,pergamena,,,,,,,,,,,,,,,,
40,XXXVIII,36,,,,88-89,Sulpicii Severi Vita b. Martini et alia opuscola,membranaceo,5,5.25,,117,256,210,rilegato,pelle,,1,,,,,,,,,1,,,1,,"f. 38 v. rozzi disegni di un uccello, una pera, un'anfora e di una santa di certo posteriori; f. 118 v. [...] traccia di una scrittura antichissima"
41,XXXIX,37,,,,89-90,Cassiodori Senatoris Complexiones,membranaceo,5,7,,110,280,230,rilegato,pergamena,,,1,,,,,,,,,,,1,,
42,XL,38,,,,90-92,S. Gregorii M.P. Moralium in Job lib. VIII posteriores,membranaceo,7,9,,344,268,215,rilegato,mezza tela,,1,,,,,,,,,,,1,1,1,Venne sciolto nel 1968 (ma 1868) raccogliendo a parte i palinsesti
,XL,38_1,,,,91,P. Virgilii M. fragm. Buc. Georg. Aeneid. cum varior. comm.,membranaceo,3,4,,61,272,215,fogli sciolti,,,1,,,,,,,,,,,,,,
