index_f,numero_del_codice,fogli,altezza,ampiezza,materiale,rilegatura,palinsesto,testo_indistinto,danni_fuoco,cancro_pergamena,margini_danneggiati,danni_umidita,restaurato,dorature,colori,titolo,note
1,I 1,405,270,200,membraceo,rilegato,,,,,,,,,,,
2,lI 2,256,282,240,membraceo,rilegato,,1,,,,,,,,,
3,II 3 ,9,250,163,membraceo,rilegato,,1,,,,,,,,,
4,IV 4 f1,2,335,290,membraceo,rilegato,,1,,,,,,,,,
5,IV 4 f2,3,285,170,membraceo,rilegato,,,,,,,,,,,
6,IV 4 f3,1,320,245,membraceo,rilegato,,,,,,,,,,,
7,V 5,114,200,153,membraceo,rilegato,1,,,,,,,,,,
8,VI 6 30,389,285,225,membraceo,rilegato,,,,,,,,,1,,
9,VII 7,25,215,145,membraceo,rilegato,,1,,,,,,,,,
10,VIII 7 2,101,300,185,membraceo,rilegato,,,1,,,,,,,,
11,IX 7 3,136,235,140,membraceo,rilegato,,,1,,,,,,,,
12,X 8,158,186,121,membraceo,rilegato,,,,,,,,,,,
13,XI 9,227,150,120,membraceo,rilegato,,1,,,,,,,,,
14,XII 10 ,358,238,170,membraceo,rilegato,,,,,1,,,,,,
15,XIII 11,559,272,182,membraceo,rilegato,,,,,,,,,,,
16,XIV 12,504,313,278,membraceo,rilegato,,1,,,,,,,,,
17,XV 13,137,233,195,membraceo,rilegato,1,,,,,,,,,,
18,XVI 14,330,348,250,membraceo,rilegato,,,,,,,,,,,
19,XVII 15,299,348,250,membraceo,rilegato,,1,,,,,,,,,
20,XVII 16,170,348,260,membraceo,rilegato,,,,,,,,,,,
21,XIX 17,94,253,170,membraceo,rilegato,,1,,,,,,,,,
22,XX 18,121,325,220,membraceo,rilegato,,1,,,,,,,,,
23,XXI 19,124,320,240,membraceo,rilegato,,1,,,,,,,,,
24,XXII 20,175,220,195,membraceo,rilegato,,1,,,,,1,,,,
25,XXIII 21 ,116,217,155,membraceo,rilegato,,1,,,,,,,,,
26,XXIV 22,71,197,114,membraceo,rilegato,,,,,,,,,,,
27,XXV 23,199,210,150,cartaceo,rilegato,,,,,,,,,,,
28,XXVI 24,116,282,212,cartaceo,rilegato,,,,,,,,,,,
29,XXVII 25,138,345,260,membraceo,rilegato,,1,,,,1,,,,,
30,XVIII 26,253,290,190,membraceo,rilegato,,,,,,,,,,,
31,XXIX 27,116,360,256,membraceo,rilegato,,,,,,,,,,,
32,XXX 28,95,298,210,membraceo,rilegato,,,,,,,,,,,
